temporada,time,colocacao,media_pontos_partida,desvio_padrao
2010,Internacional,7,1.53,1.33
2010,Palmeiras,10,1.32,1.23
2010,Santos,8,1.47,1.31
2010,Sao Paulo,9,1.45,1.33
2010,Vasco,11,1.29,1.18
2010,Vitoria,16,1.11,1.16
2011,America-MG,19,0.97,1.15
2011,Athletico-PR,17,1.08,1.24
2011,Atletico-GO,12,1.26,1.27
2011,Atletico-MG,15,1.18,1.37
2011,Avai,20,0.82,1.14
2011,Bahia,14,1.21,1.23
2011,Botafogo-RJ,9,1.47,1.37
2011,Ceara,18,1.03,1.26
2011,Corinthians,1,1.87,1.32
2011,Coritiba,8,1.5,1.35
2011,Cruzeiro,16,1.13,1.28
2011,Figueirense,7,1.53,1.27
2011,Flamengo,4,1.61,1.2
2011,Fluminense,3,1.66,1.46
2011,Gremio,12,1.26,1.33
2011,Internacional,5,1.58,1.29
2011,Palmeiras,11,1.32,1.16
2011,Santos,10,1.39,1.37
2011,Sao Paulo,6,1.55,1.31
2011,Vasco,2,1.82,1.25
2012,Atletico-GO,19,0.79,1.14
2012,Atletico-MG,2,1.89,1.23
2012,Bahia,15,1.24,1.22
2012,Botafogo-RJ,7,1.45,1.33
2012,Corinthians,6,1.5,1.29
2012,Coritiba,13,1.26,1.39
2012,Cruzeiro,9,1.37,1.38
2012,Figueirense,19,0.79,1.14
2012,Flamengo,11,1.32,1.23
2012,Fluminense,1,2.03,1.2
2012,Gremio,3,1.87,1.26
2012,Internacional,9,1.37,1.26
2012,Nautico,12,1.29,1.37
2012,Palmeiras,18,0.89,1.25
2012,Ponte Preta,13,1.26,1.27
2012,Portuguesa,16,1.18,1.18
2012,Santos,8,1.39,1.24
2012,Sao Paulo,4,1.74,1.39
2012,Sport,17,1.08,1.24
2012,Vasco,5,1.53,1.33
2013,Athletico-PR,3,1.68,1.32
2013,Atletico-MG,7,1.5,1.29
2013,Bahia,12,1.26,1.27
2013,Botafogo-RJ,4,1.61,1.33
2013,Corinthians,9,1.32,1.16
2013,Coritiba,12,1.26,1.27
2013,Criciuma,16,1.21,1.36
2013,Cruzeiro,1,2.0,1.29
2013,Flamengo,11,1.29,1.25
2013,Fluminense,16,1.21,1.3
2013,Goias,5,1.55,1.31
2013,Gremio,2,1.71,1.29
2013,Internacional,12,1.26,1.2
2013,Nautico,20,0.53,1.03
2013,Ponte Preta,19,0.97,1.22
2013,Portuguesa,12,1.26,1.27
2013,Santos,7,1.5,1.29
2013,Sao Paulo,9,1.32,1.36
2013,Vasco,18,1.16,1.26
2013,Vitoria,5,1.55,1.31
2014,Athletico-PR,8,1.42,1.35
2014,Atletico-MG,5,1.63,1.3
2014,Bahia,18,0.97,1.22
2014,Botafogo-RJ,19,0.89,1.25
2014,Chapecoense,15,1.13,1.28
2014,Corinthians,3,1.82,1.25
2014,Coritiba,12,1.24,1.28
2014,Criciuma,20,0.84,1.13
2014,Cruzeiro,1,2.11,1.23
2014,Figueirense,12,1.24,1.34
2014,Flamengo,10,1.37,1.32
2014,Fluminense,6,1.61,1.33
2014,Goias,12,1.24,1.34
2014,Gremio,6,1.61,1.33
2014,Internacional,3,1.82,1.37
2014,Palmeiras,16,1.05,1.31
2014,Santos,9,1.39,1.37
2014,Sao Paulo,2,1.84,1.28
2014,Sport,10,1.37,1.32
2014,Vitoria,17,1.0,1.27
2015,Athletico-PR,10,1.34,1.34
2015,Atletico-MG,2,1.82,1.37
2015,Avai,17,1.11,1.29
2015,Chapecoense,13,1.24,1.28
2015,Corinthians,1,2.13,1.19
2015,Coritiba,15,1.16,1.26
2015,Cruzeiro,8,1.45,1.33
2015,Figueirense,16,1.13,1.28
2015,Flamengo,12,1.29,1.43
2015,Fluminense,13,1.24,1.4
2015,Goias,19,1.0,1.27
2015,Gremio,3,1.79,1.34
2015,Internacional,5,1.58,1.35
