temporada,estado,numero_de_times,times,media_pontos
2015,SP,5,"Corinthians, Palmeiras, Ponte Preta, Santos, Sao Paulo",61.0
2016,BA,1,Vitoria,45.0
2016,MG,3,"America-MG, Atletico-MG, Cruzeiro",47.0
2016,PE,2,"Santa Cruz, Sport",39.0
2016,PR,2,"Athletico-PR, Coritiba",51.5
2016,RJ,3,"Botafogo-RJ, Flamengo, Fluminense",60.0
2016,RS,2,"Gremio, Internacional",48.0
2016,SC,2,"Chapecoense, Figueirense",44.5
2016,SP,5,"Corinthians, Palmeiras, Ponte Preta, Santos, Sao Paulo",62.2
2017,BA,2,"Bahia, Vitoria",46.5
2017,GO,1,Atletico-GO,36.0
2017,MG,2,"Atletico-MG, Cruzeiro",55.5
2017,PE,1,Sport,45.0
2017,PR,2,"Athletico-PR, Coritiba",47.0
2017,RJ,4,"Botafogo-RJ, Flamengo, Fluminense, Vasco",53.0
2017,RS,1,Gremio,62.0
2017,SC,2,"Avai, Chapecoense",48.5
2017,SP,5,"Corinthians, Palmeiras, Ponte Preta, Santos, Sao Paulo",57.4
2018,BA,2,"Bahia, Vitoria",42.5
2018,CE,1,Ceara,44.0
2018,MG,3,"America-MG, Atletico-MG, Cruzeiro",50.67
2018,PE,1,Sport,42.0
2018,PR,2,"Athletico-PR, Parana",40.0
2018,RJ,4,"Botafogo-RJ, Flamengo, Fluminense, Vasco",52.75
2018,RS,2,"Gremio, Internacional",67.5
2018,SC,1,Chapecoense,44.0
2018,SP,4,"Corinthians, Palmeiras, Santos, Sao Paulo",59.25
2019,AL,1,CSA,32.0
2019,BA,1,Bahia,49.0
2019,CE,2,"Ceara, Fortaleza",46.0
2019,GO,1,Goias,52.0
2019,MG,2,"Atletico-MG, Cruzeiro",42.0
2019,PR,1,Athletico-PR,64.0
2019,RJ,4,"Botafogo-RJ, Flamengo, Fluminense, Vasco",57.0
2019,RS,2,"Gremio, Internacional",61.0
2019,SC,2,"Avai, Chapecoense",26.0
2019,SP,4,"Corinthians, Palmeiras, Santos, Sao Paulo",66.75
2020,BA,1,Bahia,28.0
2020,CE,2,"Ceara, Fortaleza",33.5
